,index,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,SPS
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0,12.854852336799938,12.854852336799938,0.11699910437547811,-0.561306793537202,0.502867965567989,11.448275862068966,400.41500000000013,388.3190000000002,400.0517778639999,140,0,0.2656688070314494,-0.28813643910521425,0.28813643910521425,0.2656688070314494,0.6206896551724138,1.1379310344827587,1.6896551724137931,32.16657990725876,10.121493174673123,2.1752252654676365,-2.0383346035602217,2.274092335077869,-2.227352691741698,7.989993997432116,0.9878131445638215,3.148922020468213,1.6306389178143499,1513.4440158510965,20.120591385700628,14.83930800890516,15.655804589832886,14.024877143252588,8.782316610589655,9.598813191517383,6.581355041223648,7.728288228037641,4.814829066752489,5.830564641495333,3.4225755415503976,4.260124199253846,-3.7099999999999995,6969244.598452576,17.3926242909901,6.423353900315431,2.74632299790543,166.3064113492596,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,29.960986154775945,48.53093654769288,9.79096695103555,27.232283132542747,0.0,33.306781807250296,0.0,9.551078168738563,0.0,9.79096695103555,0.0,108.14525406957306,0.0,5.687386274683562,22.237067580208027,0.0,0.0,11.761884949391115,9.551078168738563,0.0,0.0,0.0,95.69915344040058,0.0,27.232283132542747,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,14.358066598826905,12.13273413692322,23.894619086314336,42.46456947923127,4.9839785209472085,0.0,1.068628117913832,1.5724330564283664,53.64675627008724,0.48647429537477027,-1.7093061728042356,0.0,19.6016810996667,0.0,0.0,0.0,0.0,29,1,6,0,0,0,3,2,5,6,1,7,3,0,0,0,5,2.5793999999999997,113.1487,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.448275862068966
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc5c(c4)Cc4ccccc4-5)c(=O)c3cc12,1,13.002540312421266,13.002540312421266,0.12606752911857533,-0.5538942776686977,0.47252849144220044,12.551724137931034,380.35900000000015,368.26300000000015,380.07970686399995,138,0,0.2656689614931688,-0.28813643910521425,0.28813643910521425,0.2656689614931688,0.6551724137931034,1.2758620689655173,1.9655172413793103,16.158970775585892,10.05715815312166,2.2126150220822125,-2.047749677084927,2.3662144118280026,-2.2298354733954984,5.975685022836103,0.9869220001940109,3.3077810483011767,1.6197103387447727,1636.503484536397,19.861078361706785,14.983465961248593,14.983465961248593,14.02487714325259,9.164508434645674,9.164508434645674,7.347713038855727,7.347713038855727,5.776464535913101,5.776464535913101,4.405323776832811,4.405323776832811,-4.06,9306613.984009873,15.945610419235265,5.259967286865698,1.9982793798716523,161.54241228476178,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,30.33183534230805,52.94009586356043,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,6.4208216229260096,0.0,107.13942291604383,0.0,16.814289258077554,22.237067580208027,0.0,0.0,0.0,9.551078168738563,6.4208216229260096,0.0,11.126902983393991,73.77545235244179,0.0,38.35918611593674,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,27.67827574580835,17.696185628620217,6.06636706846161,24.26546827384644,17.11671265787043,0.0,1.1165476190476191,0.0,52.00442627351667,0.5343287258276437,2.924012814672401,0.0,16.34579827140634,0.7415529621959995,0.0,0.0,0.043478260869565216,29,1,6,1,0,1,3,2,5,5,1,6,1,0,0,0,6,1.9993999999999996,110.82570000000001,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.551724137931034
O=C1NC(=O)c2cc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,2,13.148544651012635,13.148544651012635,0.20480826461030355,-0.49443827776464677,0.40890941651958546,13.944444444444445,476.4440000000002,460.3160000000003,476.10083623199995,174,0,0.2657820763623541,-0.457381904478764,0.457381904478764,0.2657820763623541,0.5,1.0277777777777777,1.75,16.483432766801837,10.092852507319062,2.3682397138574895,-2.1421549467405585,2.3391943419991597,-2.287042679235377,6.341645576128615,0.08742281406075457,3.3111291014500877,1.226015032958232,1577.920730072181,24.810825830012618,18.556957376127528,18.556957376127528,17.474366886035764,11.011932106099438,11.011932106099438,8.154821634630647,8.154821634630647,5.874906842635445,5.874906842635445,4.152373343401589,4.152373343401589,-5.239999999999999,265258154.8256289,21.303804333138153,8.208878191361363,3.57286321941335,204.2336666012173,9.473725907600098,22.99804733313562,0.0,0.0,23.628718917406022,0.0,24.494937340293617,4.899909730850478,0.0,0.0,18.19910120538483,72.79640482153933,0.0,27.941192241471544,28.651874643887382,29.316105192089584,0.0,5.316788604006331,0.0,0.0,4.899909730850478,113.24931199371217,0.0,22.99804733313562,19.690424242456906,5.687386274683562,22.99804733313562,0.0,23.628718917406022,0.0,0.0,41.43195470307527,90.99550602692418,0.0,0.0,0.0,102.00999999999999,23.628718917406022,19.178148736287287,0.0,22.253805966787983,28.68543360781918,4.899909730850478,24.26546827384644,36.39820241076966,30.33183534230805,5.316788604006331,9.473725907600098,11.594965597393578,0.0,50.90501438586458,2.2248396837665596,1.374214227671358,0.015141844205942334,25.052490927764648,0.0,0.0,0.0,0.0,36,1,8,0,2,2,4,0,4,6,1,8,5,0,0,0,6,4.955400000000004,128.85270000000003,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.944444444444445
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,3,12.86006067013327,12.86006067013327,0.12033243770881152,-0.5585519726005626,0.5170319647926669,11.448275862068966,382.3750000000001,368.26300000000015,382.09535692799994,140,0,0.26566879979473246,-0.28813643910521425,0.28813643910521425,0.26566879979473246,0.6206896551724138,1.1379310344827587,1.6896551724137931,16.158963074452643,10.049386562170122,2.1748006936907576,-2.0432311409402715,2.163769691872113,-2.2281074571424204,5.974639323904617,0.9875988397854364,3.148922020468213,1.6306389178143499,1507.5095864718057,20.120591385700628,15.138166499627845,15.138166499627845,14.024877143252588,9.081175101312342,9.081175101312342,7.001161724041013,7.001161724041013,5.186614090635957,5.186614090635957,3.729139627175416,3.729139627175416,-4.06,6969244.598452576,17.066626640729886,6.2379923386945855,2.6503272807358167,162.548243438291,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,42.46456947923127,41.81319288016644,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,6.4208216229260096,0.0,119.27215705296707,0.0,5.687386274683562,22.237067580208027,0.0,0.0,0.0,9.551078168738563,6.4208216229260096,0.0,11.126902983393991,85.90818648936502,0.0,27.232283132542747,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,16.55137276241436,17.696185628620217,12.13273413692322,42.46456947923127,4.9839785209472085,0.0,1.0778873771730912,0.0,51.61204048691464,0.503557628708104,0.5418858055296296,0.0,19.85472636715641,0.7432356678514687,0.0,0.0,0.043478260869565216,29,1,6,0,0,0,3,2,5,5,1,6,3,0,0,0,5,2.0189999999999997,111.83170000000001,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.448275862068966
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,4,12.484109977324264,12.484109977324264,0.12482562778197726,-0.5544351012009738,0.5506719748169688,11.454545454545455,292.25,284.186,292.048406736,106,0,0.26566879733386195,-0.28813643910521425,0.28813643910521425,0.26566879733386195,0.6818181818181818,1.1818181818181819,1.6818181818181819,16.158938416360034,10.121493174673128,2.1707032227755585,-1.9736503130264431,2.146213031777558,-2.2265860135004925,5.974451090549619,0.9909290512573721,2.9395037963210977,2.2329785420916943,1163.252027203547,15.430356941388641,11.121658641682792,11.121658641682792,10.57538740046941,6.552701115079874,6.552701115079874,5.007888447816651,5.007888447816651,3.7553944332546516,3.7553944332546516,2.711770709190084,2.711770709190084,-3.2799999999999994,178992.26516558428,12.459873630231067,4.109384994372358,1.486587762301367,121.12620711783042,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,18.19910120538483,24.26546827384644,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,0.0,0.0,83.8797857957266,0.0,5.687386274683562,22.237067580208027,0.0,0.0,0.0,9.551078168738563,0.0,0.0,0.0,61.642718215518556,0.0,27.232283132542747,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,4.567099647791355,12.13273413692322,30.33183534230805,0.0,4.9839785209472085,0.0,1.0438624338624338,0.0,50.459002152399066,0.5227124800537508,-1.658004036491138,0.0,11.132426970175887,0.0,0.0,0.0,0.0,22,1,6,0,0,0,2,2,4,5,1,6,1,0,0,0,4,0.42819999999999986,82.5837,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.454545454545455
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,5,12.839025135919076,12.839025135919076,0.11682919602874686,-0.5613768509449215,0.5167329992625745,11.428571428571429,368.34800000000007,356.2520000000001,368.07970686399995,134,0,0.26566880255398945,-0.28813643910521425,0.28813643910521425,0.26566880255398945,0.5714285714285714,1.0714285714285714,1.6071428571428572,16.158959910669083,10.058336836379162,2.1751255919066503,-2.039348112548689,2.206436434344245,-2.227424082502152,5.974964129124864,0.991113539023917,3.141048096893338,1.7307261320524465,1490.4157414628037,19.41348460451408,14.431059718441297,14.431059718441297,13.541713895658196,8.624068320125794,8.624068320125794,6.585238717006277,6.585238717006277,4.97362794604773,4.97362794604773,3.568259770356695,3.568259770356695,-4.06,4463856.52822661,16.138314313984,5.719348426672778,2.212544897710799,156.18330132389437,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,42.46456947923127,35.392371257240434,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,0.0,0.0,108.14525406957306,0.0,16.814289258077554,22.237067580208027,0.0,0.0,0.0,9.551078168738563,0.0,0.0,0.0,85.90818648936502,0.0,38.35918611593674,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,15.694002631185345,12.13273413692322,12.13273413692322,42.46456947923127,4.9839785209472085,0.0,1.0664550264550263,0.0,51.53502792234883,0.4850211781677545,0.27187893334209035,0.0,19.474950273019637,0.0,0.0,0.0,0.0,28,1,6,0,0,0,3,2,5,5,1,6,2,0,0,0,5,2.0951999999999993,108.0197,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.428571428571429
Cc1cccc(-c2ccc(-n3c(=O)c4cc5c(=O)[nH]c(=O)c5cc4c3=O)c(C)c2)c1,6,13.035903005524219,13.035903005524219,0.11876601201089265,-0.5600120376333744,0.4968942313661396,11.533333333333333,396.4020000000001,380.2740000000002,396.111006992,146,0,0.26567814035465115,-0.2881364391052142,0.2881364391052142,0.26567814035465115,0.6666666666666666,1.2666666666666666,1.8333333333333333,16.158988220235347,10.006493961427966,2.1871822083791446,-2.0908323676489435,2.246376573156169,-2.2371588153717394,5.975517142442534,0.9780949910530329,3.135397141726869,1.751934590669855,1619.9405657143436,21.15397158052023,16.276359180062045,16.276359180062045,14.346244348298509,9.451418589315418,9.451418589315418,7.543084831188668,7.543084831188668,5.530104451465558,5.530104451465558,4.0295360679025665,4.0295360679025665,-4.059999999999999,8920377.315055737,17.999451791581382,6.219402757827762,2.5033905294793217,168.91318555268765,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,35.89528683400505,54.80329714831867,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,13.847474399381248,0.0,107.13942291604384,0.0,16.814289258077554,22.237067580208027,0.0,0.0,0.0,9.551078168738563,0.0,13.847474399381248,11.126902983393991,73.77545235244179,0.0,38.35918611593674,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,26.820905614579335,12.13273413692322,6.06636706846161,44.179309741689295,11.050345589408819,0.0,1.1087003968253968,0.0,52.09789804805446,0.4981999830735826,2.294880706115758,0.0,16.304871045807403,0.0,3.862116486790077,0.0,0.08333333333333333,30,1,6,0,0,0,3,2,5,5,1,6,2,0,0,0,5,2.712040000000001,117.49369999999998,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.533333333333333
COc1cccc(-c2ccc(-n3c(=O)c4cc5c(=O)[nH]c(=O)c5cc4c3=O)c(OC)c2)c1,7,13.11860268319143,13.11860268319143,0.06715308274110576,-0.5909984321911972,0.4698820526087251,11.3125,428.40000000000015,412.2720000000002,428.10083623199995,158,0,0.2657975948650742,-0.49674547648504297,0.49674547648504297,0.2657975948650742,0.6875,1.3125,1.90625,16.46854279584556,10.043118425725941,2.2005277449513208,-2.112158787846765,2.3059483536579144,-2.234918382385679,5.97604321922031,0.41217781734187114,3.2346943085963873,1.7438174271733102,1659.028509471069,22.568185142893327,17.09285576098977,17.09285576098977,15.422253953220078,9.676163460707008,9.676163460707008,7.290923181077332,7.290923181077332,5.5646987707403,5.5646987707403,3.9635465746041394,3.9635465746041394,-4.459999999999999,26809039.684734676,19.500349491280208,7.053922760368339,2.768160281008736,179.14027601170142,9.473725907600098,11.49902366656781,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,18.19910120538483,47.52510539416365,0.0,41.45187821509781,9.473725907600098,21.544896857859182,0.0,9.551078168738563,0.0,0.0,14.219595082555067,96.01251993264984,0.0,28.313312924645363,31.710793487808132,0.0,11.49902366656781,0.0,23.77067325129363,0.0,0.0,0.0,73.77545235244179,0.0,38.35918611593674,0.0,107.46,22.237067580208027,19.178148736287287,0.0,27.232283132542747,11.49902366656781,15.694002631185345,19.242531678200752,25.308898746662365,24.26546827384644,4.9839785209472085,9.473725907600098,11.75579213900906,0.0,52.326089887893005,0.295579896994941,-0.4172684235978563,1.0126950381468782,15.163984566215564,0.0,0.0,3.0297935620050747,0.08333333333333333,32,1,8,0,0,0,3,2,5,7,1,8,4,0,0,0,5,2.1124,121.12369999999997,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3125
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc12,8,12.484109977324264,12.484109977324264,0.12482562778197703,-0.5544351012009743,0.5506719748169688,11.454545454545455,292.24999999999994,284.18600000000004,292.048406736,106,0,0.26566879733386195,-0.28813643910521425,0.28813643910521425,0.26566879733386195,0.6818181818181818,1.1818181818181819,1.6818181818181819,16.15893841635997,10.121493174673123,2.170703222775559,-1.97365031302644,2.1462130317775596,-2.226586013500498,5.974451090549621,0.9909290512573724,2.9395037963210977,2.232978542091695,1163.252027203547,15.430356941388641,11.121658641682792,11.121658641682792,10.57538740046941,6.5527011150798735,6.5527011150798735,5.00788844781665,5.00788844781665,3.7553944332546516,3.7553944332546516,2.7117707091900844,2.7117707091900844,-3.28,178992.26516558428,12.459873630231067,4.109384994372358,1.486587762301367,121.12620711783042,0.0,0.0,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,18.19910120538483,24.26546827384644,0.0,27.232283132542747,0.0,21.544896857859182,0.0,9.551078168738563,0.0,0.0,0.0,83.8797857957266,0.0,5.687386274683562,22.237067580208027,0.0,0.0,0.0,9.551078168738563,0.0,0.0,0.0,61.642718215518556,0.0,27.232283132542747,0.0,89.0,22.237067580208027,19.178148736287287,0.0,21.544896857859182,5.687386274683562,4.567099647791355,12.13273413692322,30.33183534230805,0.0,4.9839785209472085,0.0,1.0438624338624338,0.0,50.459002152399066,0.5227124800537506,-1.6580040364911384,0.0,11.132426970175887,0.0,0.0,0.0,0.0,22,1,6,0,0,0,2,2,4,5,1,6,1,0,0,0,4,0.4282000000000001,82.5837,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.454545454545455
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccc(Oc6ccc(Oc7ccccc7)cc6)cc5)cc4)c(=O)c3cc12,9,13.06459037467392,13.06459037467392,0.07657041168543599,-0.5917734089384703,0.2581260366017654,11.162790697674419,568.5410000000003,548.3810000000003,568.1270509799999,208,0,0.26566883078683856,-0.45737981594719235,0.45737981594719235,0.26566883078683856,0.4186046511627907,0.7674418604651163,1.1627906976744187,16.48983870207999,10.12149317467312,2.177897584267286,-2.097977779406342,2.292012892544769,-2.227258864533228,5.974947998537001,0.46385363476481983,3.4475694617002923,1.0448012246451617,2237.2043693189657,29.501060274324598,22.274606743349896,22.274606743349896,20.923856628818946,13.241547601609224,13.241547601609224,9.728288228037634,9.728288228037634,6.9336983337481675,6.9336983337481675,4.8461945241600946,4.8461945241600946,-6.219999999999998,10131762586.800602,25.72828494000749,10.31377384552137,4.8468939780912805,241.63812542454306,14.210588861400147,34.49707099970343,0.0,0.0,22.237067580208027,0.0,24.162127257234495,4.567099647791355,0.0,0.0,18.19910120538483,97.06187309538579,0.0,27.232283132542747,14.210588861400147,21.544896857859182,0.0,9.551078168738563,0.0,0.0,0.0,156.67619061726592,0.0,40.18445727438699,36.44765644160818,0.0,34.49707099970343,0.0,9.551078168738563,0.0,0.0,0.0,134.43912303705793,0.0,27.232283132542747,0.0,116.69,22.237067580208027,19.178148736287287,0.0,21.544896857859182,34.43494544110309,10.31661148107526,12.13273413692322,48.53093654769288,54.59730361615449,4.9839785209472085,14.210588861400147,18.667433053983157,0.0,52.296070097184206,0.31658255264732293,-1.995069607668667,3.773131339517926,32.941852564336045,0.0,0.0,0.0,0.0,43,1,9,0,0,0,5,2,7,8,1,9,7,0,0,0,7,5.805100000000006,162.1316999999998,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.162790697674419
