,index,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C1NC(=O)c2cc(Oc3cccc4c(Oc5ccc6c(c5)C(=O)N(c5ccccc5)C6=O)cccc34)ccc21,0,13.14117666,13.14117666,0.265951268,-0.457895191,0.277448159,13.85,526.504,508.36,526.1164863,192,0,0.265782043,-0.456698609,0.456698609,0.265782043,0.5,1.05,1.7,16.48546528,10.07865771,2.366209027,-2.13244606,2.381482776,-2.286595401,6.341607251,0.087419583,3.394914823,1.194060121,1914.533705,27.37973993,20.71165791,20.71165791,19.47436689,12.42859877,12.42859877,9.290835769,9.290835769,6.877456692,6.877456692,4.989727125,4.989727125,-5.76,2410719428,23.3636043,8.918912709,3.698098674,226.9153311,9.473725908,22.99804733,0,0,23.62871892,0,24.49493734,4.899909731,0,0,42.46456948,60.66367068,10.77244843,27.94119224,28.65187464,40.08855362,0,5.316788604,0,0,4.899909731,125.3820461,0,22.99804733,19.69042424,5.687386275,22.99804733,0,23.62871892,0,0,41.4319547,103.1282402,0,10.77244843,0,102.01,17.72153919,19.17814874,0,17.03408271,39.81233659,15.67235816,6.066367068,66.73003775,30.33183534,5.316788604,9.473725908,12.3164045,0,51.17495149,3.778645646,1.677989498,0.20089242,29.35111645,0,0,0,0,40,1,8,0,2,2,5,0,5,6,1,8,5,0,0,0,7,6.1086,146.3587,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3cc4ccccc4cc3Oc3ccc4c(c3)C(=O)N(c3ccccc3)C4=O)ccc21,1,13.20605213,13.20605213,0.231971815,-0.483947448,0.277448159,13.85,526.504,508.36,526.1164863,192,0,0.265782043,-0.453398353,0.453398353,0.265782043,0.5,1.025,1.675,16.52293119,10.08740233,2.366906407,-2.145163956,2.399470108,-2.286596141,6.341547719,0.087419449,3.392247559,1.248406874,1914.533705,27.37973993,20.71165791,20.71165791,19.45753013,12.42261571,12.42261571,9.329510904,9.329510904,6.847440764,6.847440764,4.917454469,4.917454469,-5.76,2356488012,23.3636043,8.918912709,3.779606005,226.9153311,9.473725908,11.49902367,11.49902367,0,23.62871892,0,24.49493734,4.899909731,0,0,42.46456948,71.43611911,0,27.94119224,28.65187464,40.08855362,0,5.316788604,0,0,4.899909731,125.3820461,0,22.99804733,19.69042424,5.687386275,22.99804733,0,23.62871892,0,0,41.4319547,103.1282402,0,10.77244843,0,102.01,23.62871892,19.17814874,0,16.69035448,34.2488851,15.67235816,12.13273414,48.53093655,42.46456948,5.316788604,9.473725908,12.38880576,0,51.43866623,4.059484887,1.543465939,-0.358629762,29.42820695,0,0,0,0,40,1,8,0,2,2,5,0,5,6,1,8,5,0,0,0,7,6.1086,146.3587,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4cc(Oc5ccc6c(c5)C(=O)N(c5ccccc5)C6=O)ccc4c3)ccc21,2,13.03891372,13.03891372,0.287476591,-0.440418358,0.277448159,13.85,526.504,508.36,526.1164863,192,0,0.265782043,-0.45733396,0.45733396,0.265782043,0.475,0.975,1.625,16.48361041,10.09092849,2.365610702,-2.126169552,2.341174806,-2.286594568,6.341518119,0.087419358,3.39018197,1.104132771,1914.533705,27.37973993,20.71165791,20.71165791,19.44069338,12.41663264,12.41663264,9.354180372,9.354180372,6.83434611,6.83434611,4.906535197,4.906535197,-5.76,2305529063,23.3636043,8.918912709,3.863838008,226.9153311,9.473725908,22.99804733,0,0,23.62871892,0,24.49493734,4.899909731,0,0,30.33183534,83.56885325,0,27.94119224,28.65187464,40.08855362,0,5.316788604,0,0,4.899909731,125.3820461,0,22.99804733,19.69042424,5.687386275,22.99804733,0,23.62871892,0,0,41.4319547,103.1282402,0,10.77244843,0,102.01,17.72153919,19.17814874,0,11.47063122,45.37578808,10.77244843,4.899909731,72.79640482,30.33183534,5.316788604,9.473725908,11.98205903,0,50.78295971,4.056385479,1.766407649,0.40233096,29.50985717,0,0,0,0,40,1,8,0,2,2,5,0,5,6,1,8,5,0,0,0,7,6.1086,146.3587,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccccc5)C6=O)cc4c3)ccc21,3,13.0678672,13.0678672,0.278141331,-0.448012021,0.277448159,13.85,526.504,508.36,526.1164863,192,0,0.265782043,-0.457333942,0.457333942,0.265782043,0.475,1,1.675,16.48375903,10.09085431,2.365623746,-2.126202946,2.341955382,-2.286594611,6.341518462,0.087419352,3.387924002,1.135251208,1914.533705,27.37973993,20.71165791,20.71165791,19.44069338,12.41663264,12.41663264,9.354180372,9.354180372,6.83434611,6.83434611,4.907532375,4.907532375,-5.76,2299869252,23.3636043,8.918912709,3.863838008,226.9153311,9.473725908,22.99804733,0,0,23.62871892,0,24.49493734,4.899909731,0,0,30.33183534,83.56885325,0,27.94119224,28.65187464,40.08855362,0,5.316788604,0,0,4.899909731,125.3820461,0,22.99804733,19.69042424,5.687386275,22.99804733,0,23.62871892,0,0,41.4319547,103.1282402,0,10.77244843,0,102.01,17.72153919,19.17814874,0,17.03408271,39.81233659,15.67235816,6.066367068,54.59730362,42.46456948,5.316788604,9.473725908,12.03350966,0,50.89930651,4.056855735,1.728025597,0.293047904,29.4892546,0,0,0,0,40,1,8,0,2,2,5,0,5,6,1,8,5,0,0,0,7,6.1086,146.3587,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3cccc4c(Oc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccccc7)cc5)C6=O)cccc34)ccc21,4,13.48587735,13.48587735,0.23657344,-0.464771517,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.265782076,-0.457381904,0.457381904,0.265782076,0.425531915,0.957446809,1.617021277,16.48762673,10.0786576,2.368426957,-2.142973778,2.385729464,-2.287042456,6.3418815,0.087418685,3.513601117,1.035023434,2280.82602,32.06997438,24.42930728,24.42930728,22.92385663,14.65821427,14.65821427,10.86430236,10.86430236,7.936891326,7.936891326,5.700531958,5.700531958,-6.74,90685137914,27.7834982,11.00637517,4.919367471,267.0859706,14.21058886,34.497071,0,0,23.62871892,0,24.49493734,4.899909731,0,0,42.46456948,84.92913896,10.77244843,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,16.69035448,45.74790877,15.67235816,6.066367068,66.73003775,54.59730362,5.316788604,14.21058886,18.23750478,0,51.96570283,3.754784662,1.510238441,1.286436385,36.57866623,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3cc4ccccc4cc3Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5)cc3)C4=O)ccc21,5,13.55075282,13.55075282,0.203399414,-0.49231957,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.265782076,-0.457381904,0.457381904,0.265782076,0.425531915,0.936170213,1.595744681,16.52327589,10.08740221,2.369121366,-2.147287017,2.402630229,-2.287043211,6.341821096,0.087418551,3.511336457,1.075994224,2280.82602,32.06997438,24.42930728,24.42930728,22.90701988,14.6522312,14.6522312,10.9029775,10.9029775,7.906875398,7.906875398,5.628259301,5.628259301,-6.74,88657608748,27.7834982,11.00637517,5.01418733,267.0859706,14.21058886,22.99804733,11.49902367,0,23.62871892,0,24.49493734,4.899909731,0,0,42.46456948,95.70158739,0,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,22.25380597,40.18445727,15.67235816,18.19910121,54.59730362,54.59730362,5.316788604,14.21058886,18.32120178,0,52.25339551,4.040049432,1.372477134,0.702599099,36.64361038,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccc(Oc7ccccc7)cc5)C6=O)cc4c3)ccc21,6,13.41256789,13.41256789,0.248440302,-0.454286886,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.265782076,-0.457381904,0.457381904,0.265782076,0.404255319,0.893617021,1.574468085,16.48636262,10.0908542,2.367835504,-2.142222353,2.3519046,-2.287041645,6.341791488,0.087418453,3.507651374,0.994238831,2280.82602,32.06997438,24.42930728,24.42930728,22.89018312,14.64624814,14.64624814,10.92764697,10.92764697,7.893780743,7.893780743,5.618337207,5.618337207,-6.74,86546995706,27.7834982,11.00637517,5.111775298,267.0859706,14.21058886,34.497071,0,0,23.62871892,0,24.49493734,4.899909731,0,0,30.33183534,107.8343215,0,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,11.12690298,51.31136026,15.67235816,6.066367068,60.66367068,60.66367068,5.316788604,14.21058886,17.94505968,0,51.68021985,4.036140152,1.561568599,1.388783969,36.72156108,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3cccc4c(Oc5ccc6c(c5)C(=O)N(c5cccc(Oc7ccccc7)c5)C6=O)cccc34)ccc21,7,13.56997693,13.56997693,0.227100029,-0.466995272,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.26578419,-0.457303168,0.457303168,0.26578419,0.425531915,0.978723404,1.680851064,16.48767145,10.07865755,2.370346469,-2.149570453,2.387575315,-2.287581539,6.342229338,0.087416256,3.509961284,1.054632627,2298.07602,32.06997438,24.42930728,24.42930728,22.92385663,14.65821427,14.65821427,10.86775669,10.86775669,7.917789632,7.917789632,5.723368854,5.723368854,-6.74,89510813108,27.7834982,11.00637517,4.919367471,267.0859706,14.21058886,34.497071,0,0,23.62871892,0,24.49493734,4.899909731,0,0,48.53093655,72.79640482,16.8388155,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,16.69035448,45.74790877,15.67235816,6.066367068,66.73003775,54.59730362,5.316788604,14.21058886,18.32219457,0,52.13671084,3.750886271,1.455554567,1.119524152,36.54846293,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3cc4ccccc4cc3Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5ccccc5)c3)C4=O)ccc21,8,13.6348524,13.6348524,0.193926002,-0.493258325,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.26578419,-0.457303168,0.457303168,0.26578419,0.425531915,0.978723404,1.680851064,16.5232815,10.08740216,2.371025065,-2.15114857,2.403917359,-2.287582233,6.34216879,0.087416121,3.507681828,1.097119992,2298.07602,32.06997438,24.42930728,24.42930728,22.90701988,14.6522312,14.6522312,10.90643182,10.90643182,7.887773704,7.887773704,5.651096198,5.651096198,-6.74,87509112769,27.7834982,11.00637517,5.01418733,267.0859706,14.21058886,22.99804733,11.49902367,0,23.62871892,0,24.49493734,4.899909731,0,0,48.53093655,83.56885325,6.066367068,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,22.25380597,40.18445727,15.67235816,18.19910121,54.59730362,54.59730362,5.316788604,14.21058886,18.40810537,0,52.42794144,4.037085927,1.317243532,0.531102427,36.61185464,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1NC(=O)c2cc(Oc3ccc4cc(Oc5ccc6c(c5)C(=O)N(c5cccc(Oc7ccccc7)c5)C6=O)ccc4c3)ccc21,9,13.46771399,13.46771399,0.248021137,-0.450044853,0.181114121,13.40425532,618.601,596.425,618.142701,226,0,0.26578419,-0.45733396,0.45733396,0.26578419,0.404255319,0.914893617,1.617021277,16.48631476,10.09092834,2.369751986,-2.149167917,2.356177638,-2.287580749,6.342138786,0.087416031,3.505878733,0.988336324,2298.07602,32.06997438,24.42930728,24.42930728,22.89018312,14.64624814,14.64624814,10.93110129,10.93110129,7.87467905,7.87467905,5.640176926,5.640176926,-6.74,85624849798,27.7834982,11.00637517,5.111775298,267.0859706,14.21058886,34.497071,0,0,23.62871892,0,24.49493734,4.899909731,0,0,36.39820241,95.70158739,6.066367068,27.94119224,33.3887376,40.08855362,0,5.316788604,0,0,4.899909731,149.6475144,0,34.497071,24.4272872,5.687386275,34.497071,0,23.62871892,0,0,41.4319547,127.3937084,0,10.77244843,0,111.24,23.62871892,19.17814874,0,11.12690298,51.31136026,15.67235816,0,72.79640482,54.59730362,5.316788604,14.21058886,17.97058744,0,51.72369541,4.0321513,1.546762573,1.342601678,36.71753493,0,0,0,0,47,1,9,0,2,2,6,0,6,7,1,9,7,0,0,0,8,7.9009,172.8747,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
